NUTR_FOOD_NAME,NUTR_SAT_FAT_g,NUTR_SERV_SIZE_g,NUTR_CALORIES_g,NUTR_TOTAL_FAT_g,NUTR_CHOLEST_g,NUTR_SODIUM_mg,NUTR_CHOLINE_mg,NUTR_FOLATE_mcg,NUTR_FOLIC_ACID_mcg,NUTR_NIACIN_mg,NUTR_PANT_ACID_mg,NUTR_RIBOFLAVIN_mg,NUTR_THIAMIN_mg,NUTR_VIT_A_IU,NUTR_VIT_A_RAE_mcg,NUTR_CAROT_ALPHA_mcg,NUTR_CAROT_BETA_mcg,NUTR_CRYPTO_BETA_mcg,NUTR_LUTEIN_ZEAX_mcg,NUTR_LUCOPENE,NUTR_VIT_B12_mcg,NUTR_VIT_B6_mg,NUTR_VIT_C_mg,NUTR_VIT_D_IU,NUTR_VIT_E_mg,NUTR_TOCOPHEROL_ALPHA_mg,NUTR_VIT_K_mcg,NUTR_CALCIUM_mg,NUTR_COPPER_mg,NUTR_IRON_mg,NUTR_MAGNES_mg,NUTR_MANGANESE_mg,NUTR_PHOSPHOROUS_mg,NUTR_POTASSIUM_mg,NUTR_SELENIUM_mcg,NUTR_ZINC_mg,NUTR_PROTEIN_g,NUTR_ALANINE_g,NUTR_ARGININE_g,NUTR_ASPART_ACID_g,NUTR_CYSTINE_g,NUTR_GLUT_ACID_g,NUTR_GLYCINE_g,NUTR_HISTIDINE_g,NUTR_HYDROXYPROLINE_g,NUTR_ISOLEUCINE_g,NUTR_LEUCINE_g,NUTR_LYSINE_g,NUTR_METHIONINE_g,NUTR_PHENYL_g,NUTR_PROLINE_g,NUTR_SERINE_g,NUTR_THREONINE_g,NUTR_TRYPTOPHAN_g,NUTR_TYROSINE_g,NUTR_VALINE_g,NUTR_CARBOHYDRATE_g,NUTR_FIBER_g,NUTR_SUGARS_g,NUTR_FRUCTOSE_g,NUTR_GALACTOSE_g,NUTR_GLUCOSE_g,NUTR_LACTOSE_g,NUTR_MALTOSE_g,NUTR_SUCROSE_g,NUTR_FAT_g,NUTR_SAT_FATTY_ACIDS_g,NUTR_MONO_FATTY_ACIDS_g,NUTR_POLYUN_FATTY_ACIDS_g,NUTR_FATTY_ACIDS_TOTAL_TRANS_mg,NUTR_ALCOHOL_g,NUTR_ASH_g,NUTR_CAFFEINE_mg,NUTR_THEOBROMINE_mg,NUTR_WATER_g,CATEGORICAL_CAL,FOOD_CAT1,FOOD_CAT2,SOURCE_KEY,MRG_KEY
Cornstarch,0.0,100,381,0.1,0,9.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.47,3.0,0.053,13.0,3.0,2.8,0.06,0.26,0.019,0.012,0.02,0.006,0.053,0.009,0.008,0.0,0.01,0.036,0.006,0.006,0.013,0.024,0.012,0.009,0.001,0.01,0.014,91.27,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.009,0.016,0.025,0.0,0.0,0.09,0.0,0.0,8.32,Medium,Cornstarch,Vegetable,NUTRITIONAL,1
"Nuts, pecans",6.2,100,691,72.0,0,0.0,40.5,22.0,0.0,1.167,0.863,0.13,0.66,56.0,3.0,0.0,29.0,9.0,17.0,0,0.0,0.21,1.1,0.0,1.4,1.4,3.5,70.0,1.2,2.53,121.0,4.5,277.0,410.0,3.8,4.53,9.17,0.397,1.177,0.929,0.152,1.829,0.453,0.262,0.0,0.336,0.598,0.287,0.183,0.426,0.363,0.474,0.306,0.093,0.215,0.411,13.86,9.6,3.97,0.04,0.0,0.04,0.0,0.0,3.9,71.97,6.18,40.801,21.614,0.0,0.0,1.49,0.0,0.0,3.52,High,Nuts,Not Categorized,NUTRITIONAL,1
"Eggplant, raw",0.0,100,25,0.2,0,2.0,6.9,22.0,0.0,0.649,0.281,0.037,0.039,23.0,1.0,0.0,14.0,0.0,36.0,0,0.0,0.084,2.2,0.0,0.3,0.3,3.5,9.0,0.081,0.23,14.0,0.232,24.0,229.0,0.3,0.16,0.98,0.051,0.057,0.164,0.006,0.186,0.041,0.023,0.0,0.045,0.064,0.047,0.011,0.043,0.043,0.042,0.037,0.009,0.027,0.053,5.88,3.0,3.53,1.54,0.0,1.58,0.0,0.0,0.26,0.18,0.034,0.016,0.076,0.0,0.0,0.66,0.0,0.0,92.3,Low,Eggplant,Vegetable,NUTRITIONAL,1
"Teff, uncooked",0.4,100,367,2.4,0,12.0,13.1,0.0,0.0,3.363,0.942,0.27,0.39,9.0,0.0,0.0,5.0,0.0,66.0,0,0.0,0.482,0.0,0.0,0.08,0.08,1.9,180.0,0.81,7.63,184.0,9.24,429.0,427.0,4.4,3.63,13.3,0.747,0.517,0.82,0.236,3.349,0.477,0.301,0.0,0.501,1.068,0.376,0.428,0.698,0.664,0.622,0.51,0.139,0.458,0.686,73.13,8.0,1.84,0.47,0.0,0.73,0.0,0.01,0.62,2.38,0.449,0.589,1.071,0.0,0.0,2.37,0.0,0.0,8.82,Medium,Teff,Not Categorized,NUTRITIONAL,1
"Sherbet, orange",1.2,100,144,2.0,1,46.0,7.7,4.0,0.0,0.063,0.224,0.097,0.027,46.0,12.0,0.0,1.0,5.0,7.0,0,0.13,0.023,2.3,0.0,0.01,0.01,0.0,54.0,0.028,0.14,8.0,0.011,40.0,96.0,1.5,0.48,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,1.3,24.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.16,0.53,0.08,1.0,0.0,0.4,0.0,0.0,66.1,Medium,Sherbet,Not Categorized,NUTRITIONAL,1
"Cauliflower, raw",0.1,100,25,0.3,0,30.0,44.3,57.0,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.184,48.2,0.0,0.08,0.08,15.5,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.6,0.27,1.92,0.116,0.086,0.177,0.02,0.257,0.071,0.056,0.0,0.071,0.106,0.217,0.02,0.065,0.071,0.086,0.076,0.02,0.051,0.125,4.97,2.0,1.91,0.97,0.0,0.94,0.0,0.0,0.0,0.28,0.13,0.034,0.031,0.0,0.0,0.76,0.0,0.0,92.07,Low,Cauliflower,Not Categorized,NUTRITIONAL,1
"Taro leaves, raw",0.2,100,42,0.7,0,3.0,12.8,126.0,0.0,1.513,0.084,0.456,0.209,4825.0,241.0,0.0,2895.0,0.0,1932.0,0,0.0,0.146,52.0,0.0,2.02,2.02,108.6,107.0,0.27,2.25,45.0,0.714,60.0,648.0,0.9,0.41,4.98,0.0,0.22,0.0,0.064,0.0,0.0,0.114,0.0,0.26,0.392,0.246,0.079,0.195,0.0,0.0,0.167,0.048,0.178,0.256,6.7,3.7,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.151,0.06,0.307,0.0,0.0,1.92,0.0,0.0,85.66,Low,Taro,Not Categorized,NUTRITIONAL,1
"Lamb, raw, ground",10.0,100,282,23.0,73,59.0,69.3,18.0,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,2.31,0.13,0.0,2.0,0.2,0.2,3.6,16.0,0.101,1.55,21.0,0.019,157.0,222.0,18.8,3.41,16.56,0.996,0.984,1.457,0.198,2.402,0.809,0.524,0.0,0.799,1.288,1.462,0.425,0.674,0.694,0.615,0.709,0.193,0.556,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,10.19,9.6,1.85,73.0,0.0,0.87,0.0,0.0,59.47,Medium,Lamb,Meat,NUTRITIONAL,1
"Cheese, camembert",15.0,100,300,24.0,72,842.0,15.4,62.0,0.0,0.63,1.364,0.488,0.028,820.0,241.0,0.0,12.0,0.0,0.0,0,1.3,0.227,0.0,18.0,0.21,0.21,2.0,388.0,0.021,0.33,20.0,0.038,347.0,187.0,14.5,2.38,19.8,0.819,0.701,1.288,0.109,4.187,0.379,0.683,0.0,0.968,1.84,1.766,0.565,1.105,2.346,1.114,0.717,0.307,1.145,1.279,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,24.26,15.259,7.023,0.724,72.0,0.0,3.68,0.0,0.0,51.8,Medium,Cheese,Not Categorized,NUTRITIONAL,1
Vegetarian fillets,2.8,100,290,18.0,0,490.0,82.0,102.0,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.2,1.5,0.0,0.0,3.45,3.45,0.0,95.0,0.925,2.0,23.0,0.0,450.0,600.0,1.0,1.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.849,4.376,9.332,0.0,0.0,5.0,0.0,0.0,45.0,Medium,Vegetarian,Not Categorized,NUTRITIONAL,1
